id,outcome,base_state,text_description
59,WILDPITCH,FIRST_AND_THIRD,"WILD PITCH! ONE RUN SCORES, ANOTHER RUNNER MOVES UP!"
60,WILDPITCH,FIRST_AND_THIRD,THE BASE PATHS SHIFT AS {pitcher} LOSES CONTROL!
61,WILDPITCH,SECOND_AND_THIRD,"WILD PITCH! THE RUNNER FROM THIRD SCORES, AND THE OTHER MOVES TO THIRD!"
62,WILDPITCH,SECOND_AND_THIRD,"{pitcher} SPIKES IT—ONE RUN IN, AND A RUNNER ON THIRD!"
63,WILDPITCH,SECOND_AND_THIRD,"THE CATCHER CAN'T BLOCK IT! A RUN SCORES, AND A RUNNER MOVES UP!"
64,WILDPITCH,SECOND_AND_THIRD,"MISSED LOCATION! RUN COMES IN, AND NOW THE OTHER RUNNER STANDS ON THIRD!"
65,WILDPITCH,SECOND_AND_THIRD,"TOO FAR INSIDE! RUN SCORES, AND ANOTHER 90 FEET CLOSER!"
66,WILDPITCH,SECOND_AND_THIRD,"{pitcher} THROWS IT AWAY! A RUN SCORES, AND A RUNNER REMAINS ON THIRD!"
67,WILDPITCH,SECOND_AND_THIRD,"BAD PITCH FROM {pitcher}! A RUN SCORES EASILY, AND THE TRAILING RUNNER MOVES UP!"
68,WILDPITCH,SECOND_AND_THIRD,"THE CATCHER CHASES IT, BUT THE DAMAGE IS DONE—ONE RUN IN, ANOTHER ON THIRD!"
69,WILDPITCH,SECOND_AND_THIRD,"BIG MISTAKE! {pitcher} LOSES CONTROL, AND THE SCORE CHANGES!"
70,WILDPITCH,SECOND_AND_THIRD,A BRUTAL SLIP! {batter} WATCHES AS A RUN SCORES!
71,WILDPITCH,BASES_LOADED,"WILD PITCH! A RUN SCORES, AND THE OTHER RUNNERS ADVANCE!"
72,WILDPITCH,BASES_LOADED,"COSTLY ERROR! {pitcher} LOSES CONTROL—RUNNERS MOVE UP, ONE SCORES!"
73,WILDPITCH,BASES_LOADED,"THAT ONE GOT AWAY BADLY! A RUN SCORES, AND THE BASES SHIFT!"
74,WILDPITCH,BASES_LOADED,"{pitcher} SPIKES IT! A RUN SCORES, AND TWO MORE MOVE INTO POSITION!"
75,WILDPITCH,BASES_LOADED,THE THROW BACK IS TOO LATE! A RUN SCORES ON THE WILD PITCH!
76,WILDPITCH,BASES_LOADED,"BAD PITCH FROM {pitcher}! ONE RUN IN, AND THE BASES STILL LOADED!"
77,WILDPITCH,BASES_LOADED,"THE CATCHER CAN'T BLOCK IT! A RUN SCORES, AND THE OTHERS MOVE UP!"
78,WILDPITCH,BASES_LOADED,"MISSED LOCATION! RUN COMES IN, AND NOW TWO MORE IN SCORING POSITION!"
79,WILDPITCH,BASES_LOADED,"TOO FAR INSIDE! A RUN SCORES, AND THE PRESSURE BUILDS!"
80,WILDPITCH,BASES_LOADED,"A FREE RUN! {pitcher} LOSES CONTROL, AND EVERYONE MOVES!"
