id,base_state,text_description
41,FIRST_AND_SECOND,HIT BY PITCH! {batter} LOADS THE BASES.
42,FIRST_AND_SECOND,"OUCH! {pitcher} HITS {batter}, AND NOW THE BASES ARE FULL."
43,FIRST_AND_SECOND,"A COSTLY HBP! {batter} HEADS TO FIRST, BASES LOADED!"
44,FIRST_AND_SECOND,"ANOTHER BEANBALL FROM {pitcher}! {batter} TAKES HIS BASE, BASES NOW FULL."
45,FIRST_AND_SECOND,{batter} GETS DRILLED—THE BASES ARE JUICED!
46,FIRST_AND_SECOND,"THAT ONE GOT AWAY! {batter} WALKS TO FIRST, BASES LOADED."
47,FIRST_AND_SECOND,"HBP! {batter} TROTS TO FIRST, CREATING A BIG OPPORTUNITY."
48,FIRST_AND_SECOND,"{pitcher} LOSES COMMAND—{batter} GETS HIT, FILLING THE BASES."
49,FIRST_AND_SECOND,HIT BATTER! BASES NOW LOADED AS {batter} TAKES HIS BASE.
50,FIRST_AND_SECOND,"OUCH! {batter} TAKES ONE, AND NOW THE BASES ARE CLOGGED."
51,FIRST_AND_THIRD,"{batter} IS HIT! NOW TWO ON, FIRST AND SECOND."
52,FIRST_AND_THIRD,"A BRUTAL HBP! {batter} TAKES FIRST, AND THE PRESSURE BUILDS."
53,FIRST_AND_THIRD,{pitcher} DRILLS {batter}! FIRST AND SECOND SITUATION NOW.
54,FIRST_AND_THIRD,"OUCH! {batter} WALKS TO FIRST, AND A BIG CHANCE LOOMS."
55,FIRST_AND_THIRD,{batter} GETS BEANED! TWO ON NOW.
56,FIRST_AND_THIRD,ANOTHER FREE PASS—BUT A PAINFUL ONE! {batter} HEADS TO FIRST.
57,FIRST_AND_THIRD,"{pitcher} PLUNKS {batter}, AND THE OFFENSE IS THREATENING."
58,FIRST_AND_THIRD,"HBP! {batter} TAKES HIS BASE, LEAVING TWO ON."
59,FIRST_AND_THIRD,{batter} SHAKES IT OFF—NOW TWO ON FOR THE NEXT BATTER.
60,FIRST_AND_THIRD,"DANGEROUS SITUATION! {batter} HEADS TO FIRST, FIRST AND SECOND OCCUPIED."
61,SECOND_AND_THIRD,OUCH! {batter} GETS HIT—BASES NOW LOADED!
62,SECOND_AND_THIRD,"{pitcher} LOSES CONTROL AGAIN—{batter} TAKES HIS BASE, BASES FULL!"
63,SECOND_AND_THIRD,"HIT BY PITCH! {batter} WALKS IT OFF, BASES JUICED."
64,SECOND_AND_THIRD,{batter} SHAKES IT OFF—NOW THE BASES ARE LOADED.
65,SECOND_AND_THIRD,"A TOUGH BREAK FOR {pitcher}—HBP, AND THE BASES ARE FULL."
66,SECOND_AND_THIRD,"HIT BATTER! THE BASES ARE LOADED, TROUBLE FOR THE DEFENSE."
67,SECOND_AND_THIRD,"OUCH! {batter} TAKES HIS BASE, EVERY BAG IS FILLED NOW."
68,SECOND_AND_THIRD,"HBP! {batter} HEADS TO FIRST, THE BASES ARE FULL."
69,SECOND_AND_THIRD,"A WILD ONE FROM {pitcher}! {batter} GETS HIT, BASES LOADED."
70,SECOND_AND_THIRD,{batter} ABSORBS THE HIT—A BRUTAL WAY TO LOAD THE BASES!
71,BASES_LOADED,"HIT BY PITCH! {batter} TAKES FIRST, AND A RUN SCORES!"
72,BASES_LOADED,"OUCH! {batter} IS BEANED, AND THE RUN COMES HOME!"
73,BASES_LOADED,PAINFUL RBI FOR {batter}! HE TAKES FIRST AS A RUN SCORES.
74,BASES_LOADED,ANOTHER BASE RUNNER—AND ANOTHER RUN IN! HBP FOR {batter}.
75,BASES_LOADED,"{pitcher} PLUNKS {batter}, FORCING A RUN ACROSS!"
76,BASES_LOADED,"TOO FAR INSIDE! {batter} TAKES HIS BASE, AND A RUN SCORES."
77,BASES_LOADED,A FREE PASS—BUT A PAINFUL ONE! {batter} FORCES A RUN HOME.
78,BASES_LOADED,HBP! {batter} WALKS TO FIRST AS THE RUNNER SCORES.
79,BASES_LOADED,A PAINFUL RBI FOR {batter}! BASES STILL LOADED.
80,BASES_LOADED,"HIT BY PITCH! {batter} TAKES HIS BASE, AND THE SCORE TIGHTENS!"
