pitches,1,2,3,4,5,6,7,8,9,10,11,12
59,,,,,,CFBFFX,SBFFFFX,BFFBFFFX,BCFFFBBFX,BCBFFFFFBX,BSFFFFFBFFX,BSFFFFBFFFFX
60,,,,,,CFFBBX,SFBBBFX,BFFFBBFX,BCFFFBFBX,BCBFFFFFFX,BSFFFFFFBBX,BSFFFFFBBFFX
61,,,,,,CFFBFX,SFBBFBX,BFFFBFBX,BCFFFBFFX,BCFBBFFFFX,BSFFFFFFBFX,BSFFFFFBFBFX
62,,,,,,CFFFBX,SFBBFFX,BFFFBFFX,BCFFFFBBX,BCFBFBFFFX,BSFFFFFFFBX,BSFFFFFBFFBX
63,,,,,,CFFFFX,SFBFBBX,BFFFFBBX,BCFFFFBFX,BCFBFFBFFX,BCBBFFFFFFX,BSFFFFFBFFFX
64,,,,,,FBBBFX,SFBFBFX,BFFFFBFX,BCFFFFFBX,BCFBFFFBFX,BCBFBFFFFFX,BSFFFFFFBBFX
65,,,,,,FBBFBX,SFBFFBX,BFFFFFBX,BCFFFFFFX,BCFBFFFFBX,BCBFFBFFFFX,BSFFFFFFBFBX
66,,,,,,FBBFFX,SFBFFFX,BFFFFFFX,BFBBFFFFX,BCFBFFFFFX,BCBFFFBFFFX,BSFFFFFFBFFX
67,,,,,,FBFBBX,SFFBBBX,SBBBFFFX,BFBFBFFFX,BCFFBBFFFX,BCBFFFFBFFX,BSFFFFFFFBBX
68,,,,,,FBFBFX,SFFBBFX,SBBFBFFX,BFBFFBFFX,BCFFBFBFFX,BCBFFFFFBFX,BSFFFFFFFBFX
69,,,,,,FBFFBX,SFFBFBX,SBBFFBFX,BFBFFFBFX,BCFFBFFBFX,BCBFFFFFFBX,BCBBFFFFFFFX
70,,,,,,FBFFFX,SFFBFFX,SBBFFFBX,BFBFFFFBX,BCFFBFFFBX,BCBFFFFFFFX,BCBFBFFFFFFX
71,,,,,,FFBBBX,SFFFBBX,SBBFFFFX,BFBFFFFFX,BCFFBFFFFX,BCFBBFFFFFX,BCBFFBFFFFFX
72,,,,,,FFBBFX,SFFFBFX,SBFBBFFX,BFFBBFFFX,BCFFFBBFFX,BCFBFBFFFFX,BCBFFFBFFFFX
73,,,,,,FFBFBX,SFFFFBX,SBFBFBFX,BFFBFBFFX,BCFFFBFBFX,BCFBFFBFFFX,BCBFFFFBFFFX
74,,,,,,FFBFFX,SFFFFFX,SBFBFFBX,BFFBFFBFX,BCFFFBFFBX,BCFBFFFBFFX,BCBFFFFFBFFX
75,,,,,,FFFBBX,CBBBFFX,SBFBFFFX,BFFBFFFBX,BCFFFBFFFX,BCFBFFFFBFX,BCBFFFFFFBFX
76,,,,,,FFFBFX,CBBFBFX,SBFFBBFX,BFFBFFFFX,BCFFFFBBFX,BCFBFFFFFBX,BCBFFFFFFFBX
77,,,,,,FFFFBX,CBBFFBX,SBFFBFBX,BFFFBBFFX,BCFFFFBFBX,BCFBFFFFFFX,BCFBBFFFFFFX
78,,,,,,FFFFFX,CBBFFFX,SBFFBFFX,BFFFBFBFX,BCFFFFBFFX,BCFFBBFFFFX,BCFBFBFFFFFX
79,,,,,,,CBFBBFX,SBFFFBBX,BFFFBFFBX,BCFFFFFBBX,BCFFBFBFFFX,BCFBFFBFFFFX
80,,,,,,,CBFBFBX,SBFFFBFX,BFFFBFFFX,BCFFFFFBFX,BCFFBFFBFFX,BCFBFFFBFFFX
81,,,,,,,CBFBFFX,SBFFFFBX,BFFFFBBFX,BCFFFFFFBX,BCFFBFFFBFX,BCFBFFFFBFFX
82,,,,,,,CBFFBBX,SBFFFFFX,BFFFFBFBX,BCFFFFFFFX,BCFFBFFFFBX,BCFBFFFFFBFX
83,,,,,,,CBFFBFX,SFBBBFFX,BFFFFBFFX,BFBBFFFFFX,BCFFBFFFFFX,BCFBFFFFFFBX
84,,,,,,,CBFFFBX,SFBBFBFX,BFFFFFBBX,BFBFBFFFFX,BCFFFBBFFFX,BCFBFFFFFFFX
85,,,,,,,CBFFFFX,SFBBFFBX,BFFFFFBFX,BFBFFBFFFX,BCFFFBFBFFX,BCFFBBFFFFFX
86,,,,,,,CFBBBFX,SFBBFFFX,BFFFFFFBX,BFBFFFBFFX,BCFFFBFFBFX,BCFFBFBFFFFX
87,,,,,,,CFBBFBX,SFBFBBFX,BFFFFFFFX,BFBFFFFBFX,BCFFFBFFFBX,BCFFBFFBFFFX
88,,,,,,,CFBBFFX,SFBFBFBX,SBBBFFFFX,BFBFFFFFBX,BCFFFBFFFFX,BCFFBFFFBFFX
89,,,,,,,CFBFBBX,SFBFBFFX,SBBFBFFFX,BFBFFFFFFX,BCFFFFBBFFX,BCFFBFFFFBFX
90,,,,,,,CFBFBFX,SFBFFBBX,SBBFFBFFX,BFFBBFFFFX,BCFFFFBFBFX,BCFFBFFFFFBX
91,,,,,,,CFBFFBX,SFBFFBFX,SBBFFFBFX,BFFBFBFFFX,BCFFFFBFFBX,BCFFBFFFFFFX
92,,,,,,,CFBFFFX,SFBFFFBX,SBBFFFFBX,BFFBFFBFFX,BCFFFFBFFFX,BCFFFBBFFFFX
93,,,,,,,CFFBBBX,SFBFFFFX,SBBFFFFFX,BFFBFFFBFX,BCFFFFFBBFX,BCFFFBFBFFFX
94,,,,,,,CFFBBFX,SFFBBBFX,SBFBBFFFX,BFFBFFFFBX,BCFFFFFBFBX,BCFFFBFFBFFX
95,,,,,,,CFFBFBX,SFFBBFBX,SBFBFBFFX,BFFBFFFFFX,BCFFFFFBFFX,BCFFFBFFFBFX
96,,,,,,,CFFBFFX,SFFBBFFX,SBFBFFBFX,BFFFBBFFFX,BCFFFFFFBBX,BCFFFBFFFFBX
97,,,,,,,CFFFBBX,SFFBFBBX,SBFBFFFBX,BFFFBFBFFX,BCFFFFFFBFX,BCFFFBFFFFFX
98,,,,,,,CFFFBFX,SFFBFBFX,SBFBFFFFX,BFFFBFFBFX,BCFFFFFFFBX,BCFFFFBBFFFX
99,,,,,,,CFFFFBX,SFFBFFBX,SBFFBBFFX,BFFFBFFFBX,BFBBFFFFFFX,BCFFFFBFBFFX
100,,,,,,,CFFFFFX,SFFBFFFX,SBFFBFBFX,BFFFBFFFFX,BFBFBFFFFFX,BCFFFFBFFBFX
101,,,,,,,FBBBFFX,SFFFBBBX,SBFFBFFBX,BFFFFBBFFX,BFBFFBFFFFX,BCFFFFBFFFBX
102,,,,,,,FBBFBFX,SFFFBBFX,SBFFBFFFX,BFFFFBFBFX,BFBFFFBFFFX,BCFFFFBFFFFX
103,,,,,,,FBBFFBX,SFFFBFBX,SBFFFBBFX,BFFFFBFFBX,BFBFFFFBFFX,BCFFFFFBBFFX
104,,,,,,,FBBFFFX,SFFFBFFX,SBFFFBFBX,BFFFFBFFFX,BFBFFFFFBFX,BCFFFFFBFBFX
105,,,,,,,FBFBBFX,SFFFFBBX,SBFFFBFFX,BFFFFFBBFX,BFBFFFFFFBX,BCFFFFFBFFBX
106,,,,,,,FBFBFBX,SFFFFBFX,SBFFFFBBX,BFFFFFBFBX,BFBFFFFFFFX,BCFFFFFBFFFX
107,,,,,,,FBFBFFX,SFFFFFBX,SBFFFFBFX,BFFFFFBFFX,BFFBBFFFFFX,BCFFFFFFBBFX
108,,,,,,,FBFFBBX,SFFFFFFX,SBFFFFFBX,BFFFFFFBBX,BFFBFBFFFFX,BCFFFFFFBFBX
109,,,,,,,FBFFBFX,CBBBFFFX,SBFFFFFFX,BFFFFFFBFX,BFFBFFBFFFX,BCFFFFFFBFFX
110,,,,,,,FBFFFBX,CBBFBFFX,SFBBBFFFX,BFFFFFFFBX,BFFBFFFBFFX,BCFFFFFFFBBX
111,,,,,,,FBFFFFX,CBBFFBFX,SFBBFBFFX,SBBBFFFFFX,BFFBFFFFBFX,BCFFFFFFFBFX
112,,,,,,,FFBBBFX,CBBFFFBX,SFBBFFBFX,SBBFBFFFFX,BFFBFFFFFBX,BFBBFFFFFFFX
113,,,,,,,FFBBFBX,CBBFFFFX,SFBBFFFBX,SBBFFBFFFX,BFFBFFFFFFX,BFBFBFFFFFFX
114,,,,,,,FFBBFFX,CBFBBFFX,SFBBFFFFX,SBBFFFBFFX,BFFFBBFFFFX,BFBFFBFFFFFX
115,,,,,,,FFBFBBX,CBFBFBFX,SFBFBBFFX,SBBFFFFBFX,BFFFBFBFFFX,BFBFFFBFFFFX
116,,,,,,,FFBFBFX,CBFBFFBX,SFBFBFBFX,SBBFFFFFBX,BFFFBFFBFFX,BFBFFFFBFFFX
117,,,,,,,FFBFFBX,CBFBFFFX,SFBFBFFBX,SBBFFFFFFX,BFFFBFFFBFX,BFBFFFFFBFFX
118,,,,,,,FFBFFFX,CBFFBBFX,SFBFBFFFX,SBFBBFFFFX,BFFFBFFFFBX,BFBFFFFFFBFX
119,,,,,,,FFFBBBX,CBFFBFBX,SFBFFBBFX,SBFBFBFFFX,BFFFBFFFFFX,BFBFFFFFFFBX
120,,,,,,,FFFBBFX,CBFFBFFX,SFBFFBFBX,SBFBFFBFFX,BFFFFBBFFFX,BFFBBFFFFFFX
121,,,,,,,FFFBFBX,CBFFFBBX,SFBFFBFFX,SBFBFFFBFX,BFFFFBFBFFX,BFFBFBFFFFFX
122,,,,,,,FFFBFFX,CBFFFBFX,SFBFFFBBX,SBFBFFFFBX,BFFFFBFFBFX,BFFBFFBFFFFX
123,,,,,,,FFFFBBX,CBFFFFBX,SFBFFFBFX,SBFBFFFFFX,BFFFFBFFFBX,BFFBFFFBFFFX
124,,,,,,,FFFFBFX,CBFFFFFX,SFBFFFFBX,SBFFBBFFFX,BFFFFBFFFFX,BFFBFFFFBFFX
125,,,,,,,FFFFFBX,CFBBBFFX,SFBFFFFFX,SBFFBFBFFX,BFFFFFBBFFX,BFFBFFFFFBFX
126,,,,,,,FFFFFFX,CFBBFBFX,SFFBBBFFX,SBFFBFFBFX,BFFFFFBFBFX,BFFBFFFFFFBX
127,,,,,,,,CFBBFFBX,SFFBBFBFX,SBFFBFFFBX,BFFFFFBFFBX,BFFBFFFFFFFX
128,,,,,,,,CFBBFFFX,SFFBBFFBX,SBFFBFFFFX,BFFFFFBFFFX,BFFFBBFFFFFX
129,,,,,,,,CFBFBBFX,SFFBBFFFX,SBFFFBBFFX,BFFFFFFBBFX,BFFFBFBFFFFX
130,,,,,,,,CFBFBFBX,SFFBFBBFX,SBFFFBFBFX,BFFFFFFBFBX,BFFFBFFBFFFX
131,,,,,,,,CFBFBFFX,SFFBFBFBX,SBFFFBFFBX,BFFFFFFBFFX,BFFFBFFFBFFX
132,,,,,,,,CFBFFBBX,SFFBFBFFX,SBFFFBFFFX,BFFFFFFFBBX,BFFFBFFFFBFX
133,,,,,,,,CFBFFBFX,SFFBFFBBX,SBFFFFBBFX,BFFFFFFFBFX,BFFFBFFFFFBX
134,,,,,,,,CFBFFFBX,SFFBFFBFX,SBFFFFBFBX,SBBBFFFFFFX,BFFFBFFFFFFX
135,,,,,,,,CFBFFFFX,SFFBFFFBX,SBFFFFBFFX,SBBFBFFFFFX,BFFFFBBFFFFX
136,,,,,,,,CFFBBBFX,SFFBFFFFX,SBFFFFFBBX,SBBFFBFFFFX,BFFFFBFBFFFX
137,,,,,,,,CFFBBFBX,SFFFBBBFX,SBFFFFFBFX,SBBFFFBFFFX,BFFFFBFFBFFX
138,,,,,,,,CFFBBFFX,SFFFBBFBX,SBFFFFFFBX,SBBFFFFBFFX,BFFFFBFFFBFX
139,,,,,,,,CFFBFBBX,SFFFBBFFX,SBFFFFFFFX,SBBFFFFFBFX,BFFFFBFFFFBX
140,,,,,,,,CFFBFBFX,SFFFBFBBX,SFBBBFFFFX,SBBFFFFFFBX,BFFFFBFFFFFX
141,,,,,,,,CFFBFFBX,SFFFBFBFX,SFBBFBFFFX,SBBFFFFFFFX,BFFFFFBBFFFX
142,,,,,,,,CFFBFFFX,SFFFBFFBX,SFBBFFBFFX,SBFBBFFFFFX,BFFFFFBFBFFX
143,,,,,,,,CFFFBBBX,SFFFBFFFX,SFBBFFFBFX,SBFBFBFFFFX,BFFFFFBFFBFX
144,,,,,,,,CFFFBBFX,SFFFFBBBX,SFBBFFFFBX,SBFBFFBFFFX,BFFFFFBFFFBX
145,,,,,,,,CFFFBFBX,SFFFFBBFX,SFBBFFFFFX,SBFBFFFBFFX,BFFFFFBFFFFX
146,,,,,,,,CFFFBFFX,SFFFFBFBX,SFBFBBFFFX,SBFBFFFFBFX,BFFFFFFBBFFX
147,,,,,,,,CFFFFBBX,SFFFFBFFX,SFBFBFBFFX,SBFBFFFFFBX,BFFFFFFBFBFX
148,,,,,,,,CFFFFBFX,SFFFFFBBX,SFBFBFFBFX,SBFBFFFFFFX,BFFFFFFBFFBX
149,,,,,,,,CFFFFFBX,SFFFFFBFX,SFBFBFFFBX,SBFFBBFFFFX,BFFFFFFBFFFX
150,,,,,,,,CFFFFFFX,SFFFFFFBX,SFBFBFFFFX,SBFFBFBFFFX,BFFFFFFFBBFX
151,,,,,,,,FBBBFFFX,SFFFFFFFX,SFBFFBBFFX,SBFFBFFBFFX,BFFFFFFFBFBX
152,,,,,,,,FBBFBFFX,CBBBFFFFX,SFBFFBFBFX,SBFFBFFFBFX,BFFFFFFFBFFX
153,,,,,,,,FBBFFBFX,CBBFBFFFX,SFBFFBFFBX,SBFFBFFFFBX,SBBBFFFFFFFX
154,,,,,,,,FBBFFFBX,CBBFFBFFX,SFBFFBFFFX,SBFFBFFFFFX,SBBFBFFFFFFX
155,,,,,,,,FBBFFFFX,CBBFFFBFX,SFBFFFBBFX,SBFFFBBFFFX,SBBFFBFFFFFX
156,,,,,,,,FBFBBFFX,CBBFFFFBX,SFBFFFBFBX,SBFFFBFBFFX,SBBFFFBFFFFX
157,,,,,,,,FBFBFBFX,CBBFFFFFX,SFBFFFBFFX,SBFFFBFFBFX,SBBFFFFBFFFX
158,,,,,,,,FBFBFFBX,CBFBBFFFX,SFBFFFFBBX,SBFFFBFFFBX,SBBFFFFFBFFX
159,,,,,,,,FBFBFFFX,CBFBFBFFX,SFBFFFFBFX,SBFFFBFFFFX,SBBFFFFFFBFX
160,,,,,,,,FBFFBBFX,CBFBFFBFX,SFBFFFFFBX,SBFFFFBBFFX,SBBFFFFFFFBX
161,,,,,,,,FBFFBFBX,CBFBFFFBX,SFBFFFFFFX,SBFFFFBFBFX,SBFBBFFFFFFX
162,,,,,,,,FBFFBFFX,CBFBFFFFX,SFFBBBFFFX,SBFFFFBFFBX,SBFBFBFFFFFX
163,,,,,,,,FBFFFBBX,CBFFBBFFX,SFFBBFBFFX,SBFFFFBFFFX,SBFBFFBFFFFX
164,,,,,,,,FBFFFBFX,CBFFBFBFX,SFFBBFFBFX,SBFFFFFBBFX,SBFBFFFBFFFX
165,,,,,,,,FBFFFFBX,CBFFBFFBX,SFFBBFFFBX,SBFFFFFBFBX,SBFBFFFFBFFX
166,,,,,,,,FBFFFFFX,CBFFBFFFX,SFFBBFFFFX,SBFFFFFBFFX,SBFBFFFFFBFX
167,,,,,,,,FFBBBFFX,CBFFFBBFX,SFFBFBBFFX,SBFFFFFFBBX,SBFBFFFFFFBX
168,,,,,,,,FFBBFBFX,CBFFFBFBX,SFFBFBFBFX,SBFFFFFFBFX,SBFBFFFFFFFX
169,,,,,,,,FFBBFFBX,CBFFFBFFX,SFFBFBFFBX,SBFFFFFFFBX,SBFFBBFFFFFX
170,,,,,,,,FFBBFFFX,CBFFFFBBX,SFFBFBFFFX,SFBBBFFFFFX,SBFFBFBFFFFX
171,,,,,,,,FFBFBBFX,CBFFFFBFX,SFFBFFBBFX,SFBBFBFFFFX,SBFFBFFBFFFX
172,,,,,,,,FFBFBFBX,CBFFFFFBX,SFFBFFBFBX,SFBBFFBFFFX,SBFFBFFFBFFX
173,,,,,,,,FFBFBFFX,CBFFFFFFX,SFFBFFBFFX,SFBBFFFBFFX,SBFFBFFFFBFX
174,,,,,,,,FFBFFBBX,CFBBBFFFX,SFFBFFFBBX,SFBBFFFFBFX,SBFFBFFFFFBX
175,,,,,,,,FFBFFBFX,CFBBFBFFX,SFFBFFFBFX,SFBBFFFFFBX,SBFFBFFFFFFX
176,,,,,,,,FFBFFFBX,CFBBFFBFX,SFFBFFFFBX,SFBBFFFFFFX,SBFFFBBFFFFX
177,,,,,,,,FFBFFFFX,CFBBFFFBX,SFFBFFFFFX,SFBFBBFFFFX,SBFFFBFBFFFX
178,,,,,,,,FFFBBBFX,CFBBFFFFX,SFFFBBBFFX,SFBFBFBFFFX,SBFFFBFFBFFX
179,,,,,,,,FFFBBFBX,CFBFBBFFX,SFFFBBFBFX,SFBFBFFBFFX,SBFFFBFFFBFX
180,,,,,,,,FFFBBFFX,CFBFBFBFX,SFFFBBFFBX,SFBFBFFFBFX,SBFFFBFFFFBX
181,,,,,,,,FFFBFBBX,CFBFBFFBX,SFFFBBFFFX,SFBFBFFFFBX,SBFFFBFFFFFX
182,,,,,,,,FFFBFBFX,CFBFBFFFX,SFFFBFBBFX,SFBFBFFFFFX,SBFFFFBBFFFX
183,,,,,,,,FFFBFFBX,CFBFFBBFX,SFFFBFBFBX,SFBFFBBFFFX,SBFFFFBFBFFX
184,,,,,,,,FFFBFFFX,CFBFFBFBX,SFFFBFBFFX,SFBFFBFBFFX,SBFFFFBFFBFX
185,,,,,,,,FFFFBBBX,CFBFFBFFX,SFFFBFFBBX,SFBFFBFFBFX,SBFFFFBFFFBX
186,,,,,,,,FFFFBBFX,CFBFFFBBX,SFFFBFFBFX,SFBFFBFFFBX,SBFFFFBFFFFX
187,,,,,,,,FFFFBFBX,CFBFFFBFX,SFFFBFFFBX,SFBFFBFFFFX,SBFFFFFBBFFX
188,,,,,,,,FFFFBFFX,CFBFFFFBX,SFFFBFFFFX,SFBFFFBBFFX,SBFFFFFBFBFX
189,,,,,,,,FFFFFBBX,CFBFFFFFX,SFFFFBBBFX,SFBFFFBFBFX,SBFFFFFBFFBX
190,,,,,,,,FFFFFBFX,CFFBBBFFX,SFFFFBBFBX,SFBFFFBFFBX,SBFFFFFBFFFX
191,,,,,,,,FFFFFFBX,CFFBBFBFX,SFFFFBBFFX,SFBFFFBFFFX,SBFFFFFFBBFX
