id ,outcome,base_state,batter_side,batted_ball_type,hit_direction,hit_location,R3_scr,R3_adv,R3_out,R2_scr,R2_adv,R2_out,R1_scr,R1_adv,R1_out
116,SINGLE,RUNNER_ON_FIRST,L,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,SINGLE,RUNNER_ON_FIRST,L,GROUNDBALL,OPPO,"5,56,6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.12,0.01
118,SINGLE,RUNNER_ON_FIRST,R,GROUNDBALL,OPPO,"3,34,4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.41,0.01
119,SINGLE,RUNNER_ON_FIRST,L,FLYBALL,OPPO,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.25,0.015
120,SINGLE,RUNNER_ON_FIRST,R,FLYBALL,OPPO,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.52,0.01
121,SINGLE,RUNNER_ON_FIRST,L,LINEDRIVE,OPPO,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.17,0.01
122,SINGLE,RUNNER_ON_FIRST,R,LINEDRIVE,OPPO,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.42,0.01
123,SINGLE,RUNNER_ON_FIRST,L,POPUP,OPPO,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,SINGLE,RUNNER_ON_FIRST,R,POPUP,OPPO,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,SINGLE,RUNNER_ON_SECOND,R,GROUNDBALL,PULL,"5,56,6",NULL,NULL,NULL,0.59,NULL,0.04,NULL,NULL,NULL
126,SINGLE,RUNNER_ON_SECOND,L,GROUNDBALL,PULL,"3,34,4",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
127,SINGLE,RUNNER_ON_SECOND,R,FLYBALL,PULL,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.64,NULL,0.03,NULL,NULL,NULL
128,SINGLE,RUNNER_ON_SECOND,L,FLYBALL,PULL,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.6,NULL,0.03,NULL,NULL,NULL
129,SINGLE,RUNNER_ON_SECOND,R,LINEDRIVE,PULL,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
130,SINGLE,RUNNER_ON_SECOND,L,LINEDRIVE,PULL,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
131,SINGLE,RUNNER_ON_SECOND,R,POPUP,PULL,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,SINGLE,RUNNER_ON_SECOND,L,POPUP,PULL,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,SINGLE,RUNNER_ON_SECOND,R,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,0.88,NULL,0.02,NULL,NULL,NULL
134,SINGLE,RUNNER_ON_SECOND,L,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,0.88,NULL,0.02,NULL,NULL,NULL
135,SINGLE,RUNNER_ON_SECOND,R,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,0.62,NULL,0.03,NULL,NULL,NULL
136,SINGLE,RUNNER_ON_SECOND,L,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,0.62,NULL,0.03,NULL,NULL,NULL
137,SINGLE,RUNNER_ON_SECOND,R,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
138,SINGLE,RUNNER_ON_SECOND,L,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
139,SINGLE,RUNNER_ON_SECOND,R,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,SINGLE,RUNNER_ON_SECOND,L,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,SINGLE,RUNNER_ON_SECOND,L,GROUNDBALL,OPPO,"5,56,6",NULL,NULL,NULL,0.59,NULL,0.04,NULL,NULL,NULL
142,SINGLE,RUNNER_ON_SECOND,R,GROUNDBALL,OPPO,"3,34,4",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
143,SINGLE,RUNNER_ON_SECOND,L,FLYBALL,OPPO,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.64,NULL,0.03,NULL,NULL,NULL
144,SINGLE,RUNNER_ON_SECOND,R,FLYBALL,OPPO,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.6,NULL,0.03,NULL,NULL,NULL
145,SINGLE,RUNNER_ON_SECOND,L,LINEDRIVE,OPPO,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
146,SINGLE,RUNNER_ON_SECOND,R,LINEDRIVE,OPPO,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
147,SINGLE,RUNNER_ON_SECOND,L,POPUP,OPPO,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,SINGLE,RUNNER_ON_SECOND,R,POPUP,OPPO,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,SINGLE,FIRST_AND_SECOND,R,GROUNDBALL,PULL,"5,56,6",NULL,NULL,NULL,0.59,NULL,0.04,NULL,NULL,NULL
150,SINGLE,FIRST_AND_SECOND,L,GROUNDBALL,PULL,"3,34,4",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
151,SINGLE,FIRST_AND_SECOND,R,FLYBALL,PULL,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.64,NULL,0.03,NULL,NULL,NULL
152,SINGLE,FIRST_AND_SECOND,L,FLYBALL,PULL,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.6,NULL,0.03,NULL,NULL,NULL
153,SINGLE,FIRST_AND_SECOND,R,LINEDRIVE,PULL,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
154,SINGLE,FIRST_AND_SECOND,L,LINEDRIVE,PULL,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
155,SINGLE,FIRST_AND_SECOND,R,POPUP,PULL,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,SINGLE,FIRST_AND_SECOND,L,POPUP,PULL,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,SINGLE,FIRST_AND_SECOND,R,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,0.88,NULL,0.02,NULL,NULL,NULL
158,SINGLE,FIRST_AND_SECOND,L,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,0.88,NULL,0.02,NULL,NULL,NULL
159,SINGLE,FIRST_AND_SECOND,R,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,0.62,NULL,0.03,NULL,NULL,NULL
160,SINGLE,FIRST_AND_SECOND,L,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,0.62,NULL,0.03,NULL,NULL,NULL
161,SINGLE,FIRST_AND_SECOND,R,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
162,SINGLE,FIRST_AND_SECOND,L,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
163,SINGLE,FIRST_AND_SECOND,R,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,SINGLE,FIRST_AND_SECOND,L,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,SINGLE,FIRST_AND_SECOND,L,GROUNDBALL,OPPO,"5,56,6",NULL,NULL,NULL,0.59,NULL,0.04,NULL,NULL,NULL
166,SINGLE,FIRST_AND_SECOND,R,GROUNDBALL,OPPO,"3,34,4",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
167,SINGLE,FIRST_AND_SECOND,L,FLYBALL,OPPO,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.64,NULL,0.03,NULL,NULL,NULL
168,SINGLE,FIRST_AND_SECOND,R,FLYBALL,OPPO,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.6,NULL,0.03,NULL,NULL,NULL
169,SINGLE,FIRST_AND_SECOND,L,LINEDRIVE,OPPO,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
170,SINGLE,FIRST_AND_SECOND,R,LINEDRIVE,OPPO,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
171,SINGLE,FIRST_AND_SECOND,L,POPUP,OPPO,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,SINGLE,FIRST_AND_SECOND,R,POPUP,OPPO,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,SINGLE,FIRST_AND_THIRD,R,GROUNDBALL,PULL,"5,56,6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.12,0.01
174,SINGLE,FIRST_AND_THIRD,L,GROUNDBALL,PULL,"3,34,4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.41,0.01
175,SINGLE,FIRST_AND_THIRD,R,FLYBALL,PULL,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.25,0.015
176,SINGLE,FIRST_AND_THIRD,L,FLYBALL,PULL,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.52,0.01
177,SINGLE,FIRST_AND_THIRD,R,LINEDRIVE,PULL,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.17,0.01
178,SINGLE,FIRST_AND_THIRD,L,LINEDRIVE,PULL,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.42,0.01
179,SINGLE,FIRST_AND_THIRD,R,POPUP,PULL,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,SINGLE,FIRST_AND_THIRD,L,POPUP,PULL,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,SINGLE,FIRST_AND_THIRD,R,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.33,0.01
182,SINGLE,FIRST_AND_THIRD,L,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.33,0.01
183,SINGLE,FIRST_AND_THIRD,R,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.39,0.02
184,SINGLE,FIRST_AND_THIRD,L,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.39,0.02
185,SINGLE,FIRST_AND_THIRD,R,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.31,0.01
186,SINGLE,FIRST_AND_THIRD,L,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.31,0.01
187,SINGLE,FIRST_AND_THIRD,R,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,SINGLE,FIRST_AND_THIRD,L,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,SINGLE,FIRST_AND_THIRD,L,GROUNDBALL,OPPO,"5,56,6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.12,0.01
190,SINGLE,FIRST_AND_THIRD,R,GROUNDBALL,OPPO,"3,34,4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.41,0.01
191,SINGLE,FIRST_AND_THIRD,L,FLYBALL,OPPO,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.25,0.015
192,SINGLE,FIRST_AND_THIRD,R,FLYBALL,OPPO,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.52,0.01
193,SINGLE,FIRST_AND_THIRD,L,LINEDRIVE,OPPO,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.17,0.01
194,SINGLE,FIRST_AND_THIRD,R,LINEDRIVE,OPPO,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.42,0.01
195,SINGLE,FIRST_AND_THIRD,L,POPUP,OPPO,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,SINGLE,FIRST_AND_THIRD,R,POPUP,OPPO,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,SINGLE,SECOND_AND_THIRD,R,GROUNDBALL,PULL,"5,56,6",NULL,NULL,NULL,0.59,NULL,0.04,NULL,NULL,NULL
198,SINGLE,SECOND_AND_THIRD,L,GROUNDBALL,PULL,"3,34,4",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
199,SINGLE,SECOND_AND_THIRD,R,FLYBALL,PULL,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.64,NULL,0.03,NULL,NULL,NULL
200,SINGLE,SECOND_AND_THIRD,L,FLYBALL,PULL,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.6,NULL,0.03,NULL,NULL,NULL
201,SINGLE,SECOND_AND_THIRD,R,LINEDRIVE,PULL,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
202,SINGLE,SECOND_AND_THIRD,L,LINEDRIVE,PULL,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
203,SINGLE,SECOND_AND_THIRD,R,POPUP,PULL,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,SINGLE,SECOND_AND_THIRD,L,POPUP,PULL,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,SINGLE,SECOND_AND_THIRD,R,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,0.88,NULL,0.02,NULL,NULL,NULL
206,SINGLE,SECOND_AND_THIRD,L,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,0.88,NULL,0.02,NULL,NULL,NULL
207,SINGLE,SECOND_AND_THIRD,R,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,0.62,NULL,0.03,NULL,NULL,NULL
208,SINGLE,SECOND_AND_THIRD,L,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,0.62,NULL,0.03,NULL,NULL,NULL
209,SINGLE,SECOND_AND_THIRD,R,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
210,SINGLE,SECOND_AND_THIRD,L,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
211,SINGLE,SECOND_AND_THIRD,R,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,SINGLE,SECOND_AND_THIRD,L,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,SINGLE,SECOND_AND_THIRD,L,GROUNDBALL,OPPO,"5,56,6",NULL,NULL,NULL,0.59,NULL,0.04,NULL,NULL,NULL
214,SINGLE,SECOND_AND_THIRD,R,GROUNDBALL,OPPO,"3,34,4",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
215,SINGLE,SECOND_AND_THIRD,L,FLYBALL,OPPO,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.64,NULL,0.03,NULL,NULL,NULL
216,SINGLE,SECOND_AND_THIRD,R,FLYBALL,OPPO,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.6,NULL,0.03,NULL,NULL,NULL
217,SINGLE,SECOND_AND_THIRD,L,LINEDRIVE,OPPO,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
218,SINGLE,SECOND_AND_THIRD,R,LINEDRIVE,OPPO,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
219,SINGLE,SECOND_AND_THIRD,L,POPUP,OPPO,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220,SINGLE,SECOND_AND_THIRD,R,POPUP,OPPO,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,SINGLE,BASES_LOADED,R,GROUNDBALL,PULL,"5,56,6",NULL,NULL,NULL,0.59,NULL,0.04,NULL,NULL,NULL
222,SINGLE,BASES_LOADED,L,GROUNDBALL,PULL,"3,34,4",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
223,SINGLE,BASES_LOADED,R,FLYBALL,PULL,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.64,NULL,0.03,NULL,NULL,NULL
224,SINGLE,BASES_LOADED,L,FLYBALL,PULL,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.6,NULL,0.03,NULL,NULL,NULL
225,SINGLE,BASES_LOADED,R,LINEDRIVE,PULL,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
226,SINGLE,BASES_LOADED,L,LINEDRIVE,PULL,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
227,SINGLE,BASES_LOADED,R,POPUP,PULL,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228,SINGLE,BASES_LOADED,L,POPUP,PULL,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
229,SINGLE,BASES_LOADED,R,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,0.88,NULL,0.02,NULL,NULL,NULL
230,SINGLE,BASES_LOADED,L,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,0.88,NULL,0.02,NULL,NULL,NULL
231,SINGLE,BASES_LOADED,R,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,0.62,NULL,0.03,NULL,NULL,NULL
232,SINGLE,BASES_LOADED,L,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,0.62,NULL,0.03,NULL,NULL,NULL
233,SINGLE,BASES_LOADED,R,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
234,SINGLE,BASES_LOADED,L,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
235,SINGLE,BASES_LOADED,R,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
236,SINGLE,BASES_LOADED,L,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,SINGLE,BASES_LOADED,L,GROUNDBALL,OPPO,"5,56,6",NULL,NULL,NULL,0.59,NULL,0.04,NULL,NULL,NULL
238,SINGLE,BASES_LOADED,R,GROUNDBALL,OPPO,"3,34,4",NULL,NULL,NULL,0.72,NULL,0.03,NULL,NULL,NULL
239,SINGLE,BASES_LOADED,L,FLYBALL,OPPO,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.64,NULL,0.03,NULL,NULL,NULL
240,SINGLE,BASES_LOADED,R,FLYBALL,OPPO,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.6,NULL,0.03,NULL,NULL,NULL
241,SINGLE,BASES_LOADED,L,LINEDRIVE,OPPO,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
242,SINGLE,BASES_LOADED,R,LINEDRIVE,OPPO,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,0.62,NULL,0.04,NULL,NULL,NULL
243,SINGLE,BASES_LOADED,L,POPUP,OPPO,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
244,SINGLE,BASES_LOADED,R,POPUP,OPPO,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
