id ,outcome,base_state,batter_side,batted_ball_type,hit_direction,hit_location,R3_scr,R3_adv,R3_out,R2_scr,R2_adv,R2_out,R1_scr,R1_adv,R1_out
148,DOUBLE,FIRST_AND_THIRD,R,LINEDRIVE,OPPO,"9LS,9L,9LD,89,89D",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
149,DOUBLE,BASES_LOADED,R,GROUNDBALL,PULL,5,NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
150,DOUBLE,BASES_LOADED,L,GROUNDBALL,PULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
151,DOUBLE,BASES_LOADED,R,FLYBALL,PULL,"7LD,7D,78D,78XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
152,DOUBLE,BASES_LOADED,L,FLYBALL,PULL,"9LD,9D,89D,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
153,DOUBLE,BASES_LOADED,R,LINEDRIVE,PULL,"7LS,7L,7LD,78,78D",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
154,DOUBLE,BASES_LOADED,L,LINEDRIVE,PULL,"9LS,9L,9LD,89,89D",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
155,DOUBLE,BASES_LOADED,R,FLYBALL,CENT,"78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
156,DOUBLE,BASES_LOADED,L,FLYBALL,CENT,"78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
157,DOUBLE,BASES_LOADED,R,LINEDRIVE,CENT,"78,89,78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
158,DOUBLE,BASES_LOADED,L,LINEDRIVE,CENT,"78,89,78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
159,DOUBLE,BASES_LOADED,L,GROUNDBALL,OPPO,5,NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
160,DOUBLE,BASES_LOADED,R,GROUNDBALL,OPPO,3,NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
161,DOUBLE,BASES_LOADED,L,FLYBALL,OPPO,"7LD,7D,78D,78XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
162,DOUBLE,BASES_LOADED,R,FLYBALL,OPPO,"9LD,9D,89D,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
163,DOUBLE,BASES_LOADED,L,LINEDRIVE,OPPO,"7LS,7L,7LD,78,78D",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
164,DOUBLE,BASES_LOADED,R,LINEDRIVE,OPPO,"9LS,9L,9LD,89,89D",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
